precision,feature,recall,fbeta
0.41509433962264153,marital_status,1.0,0.2619047619047619
0.3493609251369446,marital_status,0.9896551724137931,0.21212121212121213
0.3275862068965517,marital_status,1.0,0.1958762886597938
0.5,marital_status,1.0,0.3333333333333333
0.23529411764705882,marital_status,1.0,0.13333333333333333
0.0,marital_status,1.0,0.0
0.0,marital_status,1.0,0.0
precision,feature,recall,fbeta
0.27586206896551724,occupation,1.0,0.16
0.25,occupation,1.0,0.14285714285714285
0.18181818181818182,occupation,1.0,0.1
0.3780487804878049,occupation,1.0,0.23308270676691728
0.3302752293577982,occupation,0.9230769230769231,0.2011173184357542
0.4139433551198257,occupation,1.0,0.260989010989011
0.3076923076923077,occupation,1.0,0.18181818181818182
0.2,occupation,1.0,0.1111111111111111
0.3816793893129771,occupation,1.0,0.2358490566037736
0.2978723404255319,occupation,1.0,0.175
0.20588235294117646,occupation,1.0,0.11475409836065574
0.2972972972972973,occupation,1.0,0.1746031746031746
0.18181818181818182,occupation,1.0,0.1
1.0,occupation,1.0,1.0
1.0,occupation,1.0,1.0
precision,feature,recall,fbeta
0.36082474226804123,relationship,1.0,0.22012578616352202
0.3518776077885953,relationship,0.98828125,0.2140439932318105
0.3404255319148936,relationship,1.0,0.20512820512820512
0.4444444444444444,relationship,1.0,0.2857142857142857
0.2,relationship,1.0,0.1111111111111111
0.3333333333333333,relationship,1.0,0.2
precision,feature,recall,fbeta
0.3486880466472303,race,0.9900662251655629,0.21160651096956828
0.3076923076923077,race,1.0,0.18181818181818182
0.37383177570093457,race,1.0,0.22988505747126436
0.36363636363636365,race,1.0,0.2222222222222222
0.8571428571428571,race,1.0,0.75
precision,feature,recall,fbeta
0.3344262295081967,sex,1.0,0.20078740157480315
0.35375,sex,0.9895104895104895,0.21537290715372906
precision,feature,recall,fbeta
0.3609515996718622,workclass,0.995475113122172,0.22044088176352705
0.30344827586206896,workclass,0.9565217391304348,0.18032786885245902
0.3463687150837989,workclass,0.96875,0.2108843537414966
0.3,workclass,1.0,0.17647058823529413
0.2,workclass,1.0,0.1111111111111111
0.21951219512195122,workclass,1.0,0.1232876712328767
0.45,workclass,1.0,0.2903225806451613
1.0,workclass,1.0,1.0
1.0,workclass,1.0,1.0
precision,feature,recall,fbeta
0.3581580443433769,native_country,0.9905660377358491,0.21859819569743233
1.0,native_country,1.0,1.0
0.2,native_country,1.0,0.1111111111111111
0.0,native_country,1.0,0.0
0.4,native_country,1.0,0.25
0.0,native_country,1.0,0.0
0.4,native_country,1.0,0.25
0.2857142857142857,native_country,1.0,0.16666666666666666
0.0,native_country,1.0,0.0
0.0,native_country,1.0,0.0
0.4,native_country,1.0,0.25
0.14285714285714285,native_country,1.0,0.07692307692307693
0.0,native_country,1.0,0.0
0.0,native_country,1.0,0.0
0.4,native_country,1.0,0.25
0.25,native_country,1.0,0.14285714285714285
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.5,native_country,1.0,0.3333333333333333
0.0,native_country,1.0,0.0
0.25,native_country,1.0,0.14285714285714285
1.0,native_country,1.0,1.0
0.6666666666666666,native_country,1.0,0.5
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
0.6666666666666666,native_country,1.0,0.5
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
1.0,native_country,1.0,1.0
0.0,native_country,1.0,0.0
precision,feature,recall,fbeta
0.3033175355450237,education,1.0,0.1787709497206704
0.38461538461538464,education,1.0,0.23809523809523808
0.4,education,1.0,0.25
0.31746031746031744,education,1.0,0.18867924528301888
0.2934131736526946,education,1.0,0.17192982456140352
0.29441624365482233,education,0.9508196721311475,0.17417417417417416
0.34146341463414637,education,1.0,0.20588235294117646
0.4380952380952381,education,1.0,0.2804878048780488
0.42857142857142855,education,1.0,0.2727272727272727
1.0,education,1.0,1.0
0.5932203389830508,education,1.0,0.42168674698795183
0.13333333333333333,education,1.0,0.07142857142857142
1.0,education,1.0,1.0
0.0,education,1.0,0.0
0.25,education,1.0,0.14285714285714285
1.0,education,1.0,1.0
